Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,night,Fish_gear,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Kaptzon
75,15,00,18,00,1978,06,17,Levi,Borot E,10,,,,FALSE,,FALSE,,FALSE,FALSE,75,,,,,,,,,4 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,
76,19,00,,,1978,06,17,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,76,,,,,,,,,28 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
77,05,30,09,30,1978,06,18,Levi,Borot E,10,,,,FALSE,,FALSE,,FALSE,FALSE,77,,,,,,,,,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,
78,10,45,14,30,1978,06,18,Levi,Borot E,11,,,,FALSE,,FALSE,,FALSE,FALSE,78,,,,,,,,,2 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,24 Ind,,,8,,,,,FALSE,,,,,,,,,,
79,15,45,19,00,1978,06,18,Levi,El Arish,11,,,,FALSE,,FALSE,,FALSE,FALSE,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,
80,08,00,12,00,1978,06,27,Levi,El Arish W,25,,,,FALSE,,FALSE,,FALSE,FALSE,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,
81,12,30,16,30,1978,06,27,Levi,,30,,,,FALSE,,FALSE,,FALSE,FALSE,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2 +1 Ind,,,,,FALSE,,,,,,,,,,
82,17,00,23,30,1978,06,27,Levi,,23,,,,FALSE,,FALSE,,FALSE,FALSE,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,4,,,,,FALSE,,,,,,,,,,
83,22,30,04,30,1978,06,27,Levi,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,83,,,,,,,,,13 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
84,06,00,10,00,1978,06,28,Levi,Borot E,11,,,,FALSE,,FALSE,,FALSE,FALSE,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,
85,11,00,15,00,1978,06,28,Levi,Borot E,11,,,,FALSE,,FALSE,,FALSE,FALSE,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,
86,16,00,20,00,1978,06,28,Levi,the_city E,12,,,,FALSE,,FALSE,,FALSE,FALSE,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10,,,,,FALSE,,,,,,,,,,
87,21,00,02,00,1978,06,28,Levi,the_city E,12,,,,FALSE,12,FALSE,,FALSE,FALSE,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,
88,03,30,07,30,1978,06,29,Levi,the_city,,,,,FALSE,,FALSE,,FALSE,FALSE,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,
89,08,00,12,00,1978,06,29,Levi,the_city E,12,,,,FALSE,,FALSE,,FALSE,FALSE,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,6,,,,,FALSE,,,,,,,,,,
90,12,30,16,30,1978,06,29,Levi,the_city E,12,,,,FALSE,,FALSE,,FALSE,FALSE,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,5,,,,,FALSE,,,,,,,,,,
91,17,30,19,00,1978,06,29,Levi,the_city E,12,,,,FALSE,,FALSE,,FALSE,FALSE,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,,FALSE,,,,,,,,,,
92,20,00,04,30,1978,06,29,Levi,the_city W,8,,,,FALSE,,FALSE,Gambari,FALSE,FALSE,92,,,,,,,,,5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,
